date,sleep_score,sleep_total_min,hr_night_avg,steps_total,active_kcal,sleep_deep_min,sleep_rem_min,sleep_awakenings,data_era,day_of_week,month
2022-01-15,36.52,612.9833333333333,70.15416666666667,17190.0,656.0,0.0,0.0,0.0,0,5,1
2022-01-16,74.58,467.98333333333335,68.95,2330.0,273.0,0.0,0.0,0.0,0,6,1
2022-01-17,74.22,453.98333333333335,71.52083333333333,7618.0,635.0,0.0,0.0,0.0,0,0,1
2022-01-18,74.01,452.98333333333335,71.82916666666667,9779.0,682.0,0.0,0.0,0.0,0,1,1
2022-01-19,69.22,466.98333333333335,72.6875,9516.0,764.0,0.0,0.0,0.0,0,2,1
2022-01-20,68.51,465.98333333333335,73.32916666666667,1580.0,121.0,0.0,0.0,0.0,0,3,1
2022-01-22,40.9,552.9833333333333,77.23333333333333,3060.0,418.0,0.0,0.0,0.0,0,5,1
2022-01-23,65.21,413.98333333333335,72.1875,1486.0,211.0,0.0,0.0,0.0,0,6,1
2022-01-24,74.1,441.98333333333335,70.92916666666666,11255.0,916.0,0.0,0.0,0.0,0,0,1
2022-01-25,66.12,483.98333333333335,71.925,9462.0,652.0,0.0,0.0,0.0,0,1,1
2022-01-26,71.31,470.98333333333335,70.62916666666666,7512.0,449.0,0.0,0.0,0.0,0,2,1
2022-01-27,64.44,494.98333333333335,71.21111111111111,7155.0,627.0,0.0,0.0,0.0,0,3,1
2022-01-28,57.17,517.9833333333333,72.22083333333333,11488.0,547.0,0.0,0.0,0.0,0,4,1
2022-01-29,41.65,564.9833333333333,74.73333333333333,11095.0,285.0,0.0,0.0,0.0,0,5,1
2022-01-30,74.17,464.98333333333335,69.725,12507.0,633.0,0.0,0.0,0.0,0,6,1
2022-01-31,66.8,398.98333333333335,68.63333333333334,8853.0,817.0,0.0,0.0,0.0,0,0,1
2022-02-01,70.36,470.98333333333335,71.2625,9435.0,405.0,0.0,0.0,0.0,0,1,2
2022-02-02,68.49,463.98333333333335,73.67916666666666,9364.0,394.0,0.0,0.0,0.0,0,2,2
2022-02-03,57.05,521.9833333333333,71.6375,8066.0,442.0,0.0,0.0,0.0,0,3,2
2022-02-04,35.27,606.9833333333333,71.99166666666666,17224.0,751.0989999999999,0.0,0.0,0.0,0,4,2
2022-02-05,48.11,558.9833333333333,71.42916666666666,10921.0,583.0,0.0,0.0,0.0,0,5,2
2022-02-06,69.59,499.98333333333335,66.94583333333334,9117.0,485.0,0.0,0.0,0.0,0,6,2
2022-02-07,76.45,472.98333333333335,66.87083333333334,10718.0,615.0,0.0,0.0,0.0,0,0,2
2022-02-08,71.55,480.98333333333335,68.8,11862.0,465.0,0.0,0.0,0.0,0,1,2
2022-02-09,57.35,511.98333333333335,73.10416666666667,846.0,81.0,0.0,0.0,0.0,0,2,2
2022-02-10,64.35,475.98333333333335,74.4375,1332.0,220.0,0.0,0.0,0.0,0,3,2
2022-02-11,59.55,485.98333333333335,75.97083333333333,12879.0,585.0,0.0,0.0,0.0,0,4,2
2022-02-12,54.2,516.9833333333333,74.36666666666666,1234.0,104.0,0.0,0.0,0.0,0,5,2
2022-02-13,56.57,511.98333333333335,73.62083333333334,5047.0,230.0,0.0,0.0,0.0,0,6,2
2022-02-14,70.65,479.98333333333335,69.57083333333334,1898.0,165.0,0.0,0.0,0.0,0,0,2
2022-02-15,70.67,485.98333333333335,68.55833333333334,5577.0,224.0,0.0,0.0,0.0,0,1,2
2022-02-16,73.78,444.98333333333335,71.64253393665159,7280.0,480.0,0.0,0.0,0.0,0,2,2
2022-02-17,63.79,498.98333333333335,70.97916666666667,1047.0,124.0,0.0,0.0,0.0,0,3,2
2022-02-18,36.79,605.9833333333333,71.14583333333333,1474.0,212.0,0.0,0.0,0.0,0,4,2
2022-02-19,42.65,570.9833333333333,73.07083333333334,34905.0,742.0,0.0,0.0,0.0,0,5,2
2022-02-20,69.57,465.98333333333335,72.62083333333334,15877.0,597.0,0.0,0.0,0.0,0,6,2
2022-02-21,66.16,421.98333333333335,72.8875,9625.0,676.0,0.0,0.0,0.0,0,0,2
2022-02-22,64.89,494.98333333333335,70.90833333333333,9923.0,481.0,0.0,0.0,0.0,0,1,2
2022-02-23,71.34,477.98333333333335,69.44583333333334,9148.0,509.0,0.0,0.0,0.0,0,2,2
2022-02-24,62.94,498.98333333333335,71.54166666666667,10455.0,756.0,0.0,0.0,0.0,0,3,2
2022-02-25,48.5,569.9833333333333,69.33333333333333,7681.0,316.0,0.0,0.0,0.0,0,4,2
2022-02-26,41.4,611.9833333333333,67.06666666666666,27071.0,1012.0,0.0,0.0,0.0,0,5,2
